"","date","fav_count","rep_count","ret_count","user_count","tweet_count"
"365",2015-01-11,0,3,0,8,4
"366",2015-01-12,1,1,1,8,5
"367",2015-01-13,0,2,0,8,6
"368",2015-01-14,0,0,0,10,8
"369",2015-01-15,1,0,4,12,12
"370",2015-01-16,0,0,0,8,7
"371",2015-01-17,28,7,216,36,11
"372",2015-01-18,0,0,0,1,1
"373",2015-01-19,0,1,4,13,5
"374",2015-01-20,0,2,4,11,4
"375",2015-01-21,0,1,1,6,3
"376",2015-01-22,0,1,4,10,4
"377",2015-01-24,0,1,2,5,4
"378",2015-01-25,0,0,1,3,1
"379",2015-01-26,0,1,17,18,8
"380",2015-01-27,0,0,1,3,3
"381",2015-01-28,0,0,1,1,1
"382",2015-01-29,1,0,4,19,9
"383",2015-01-30,1,2,3,7,5
"384",2015-01-31,0,0,0,2,1
"385",2015-02-01,1,1,6,19,8
"386",2015-02-02,2,2,7,26,13
"387",2015-02-03,0,0,7,25,21
"388",2015-02-04,1,0,0,3,3
"389",2015-02-05,3,3,39,17,10
"390",2015-02-06,4,2,31,22,12
"391",2015-02-07,0,0,4,8,5
"392",2015-02-08,0,0,1,11,4
"393",2015-02-09,1,0,29,18,16
"394",2015-02-10,0,0,10,15,10
"395",2015-02-11,1,1,15,39,23
"396",2015-02-12,3,2,24,26,23
"397",2015-02-13,0,0,10,15,11
"398",2015-02-14,2,1,4,13,7
"399",2015-02-15,1,0,5,12,12
"400",2015-02-16,0,7,4,22,14
"401",2015-02-17,0,0,2,4,3
"402",2015-02-18,0,1,6,14,10
"403",2015-02-19,1,0,10,11,9
"404",2015-02-20,0,0,2,5,4
"405",2015-02-21,3,0,10,21,9
"406",2015-02-22,0,0,0,3,2
"407",2015-02-23,0,1,2,4,2
"408",2015-02-24,0,0,8,7,6
"409",2015-02-25,0,0,1,1,1
"410",2015-02-26,0,3,25,17,14
"411",2015-02-27,0,1,4,17,10
"412",2015-02-28,0,0,0,1,1
"413",2015-03-01,0,0,7,11,8
"414",2015-03-02,2,2,22,43,27
"415",2015-03-03,4,0,55,12,7
"416",2015-03-04,3,2,16,14,9
"417",2015-03-05,0,0,3,12,5
"418",2015-03-06,4,6,36,54,21
"419",2015-03-07,22,5,104,111,41
"420",2015-03-08,4,2,21,23,11
"421",2015-03-09,1,1,49,30,20
"422",2015-03-10,3,3,39,27,18
"423",2015-03-11,0,0,12,13,9
"424",2015-03-12,0,0,4,9,5
"425",2015-03-13,5,9,158,33,16
"426",2015-03-14,3,1,5,19,10
"427",2015-03-15,1,0,4,24,8
"428",2015-03-16,0,1,8,16,7
"429",2015-03-17,7,10,65,109,37
"430",2015-03-18,8,1,36,9,6
"431",2015-03-19,0,0,16,49,15
"432",2015-03-20,0,0,5,16,6
"433",2015-03-21,3,5,63,50,28
"434",2015-03-22,7,3,97,60,45
"435",2015-03-23,1,1,9,20,10
"436",2015-03-24,1,1,5,15,9
"437",2015-03-25,0,1,9,7,5
"438",2015-03-26,5,4,82,74,34
"439",2015-03-27,0,0,3,6,4
"440",2015-03-28,0,1,14,17,13
"441",2015-03-29,0,0,2,1,1
"442",2015-03-31,0,2,13,16,8
"443",2015-04-01,48,22,691,193,98
"444",2015-04-02,1,0,15,21,11
"445",2015-04-03,5,20,72,126,64
"446",2015-04-04,13,13,241,74,29
"447",2015-04-05,2,4,36,31,16
"448",2015-04-06,5,0,14,9,5
"449",2015-04-07,0,0,4,5,3
"450",2015-04-08,2,1,26,13,9
"451",2015-04-09,0,0,17,8,6
"452",2015-04-10,0,0,0,5,5
"453",2015-04-11,0,1,6,1,1
"454",2015-04-12,0,0,0,1,1
"455",2015-04-13,0,0,1,2,1
"456",2015-04-14,2,0,6,21,10
"457",2015-04-15,0,0,0,1,1
"458",2015-04-16,9,3,126,28,13
"459",2015-04-17,5,1,20,8,5
"460",2015-04-18,1,1,17,24,12
"461",2015-04-19,1,0,21,14,8
"462",2015-04-20,0,0,3,10,8
"463",2015-04-21,2,2,26,12,9
"464",2015-04-22,7,3,59,85,49
"465",2015-04-23,1,2,11,45,30
"466",2015-04-24,11,1,76,27,17
"467",2015-04-25,2,0,8,2,2
"468",2015-04-26,0,1,15,19,10
"469",2015-04-27,1,0,1,5,3
"470",2015-04-28,1,0,1,5,1
"471",2015-04-29,2,0,9,15,5
"472",2015-04-30,2,2,33,34,13
"473",2015-05-01,6,1,65,56,23
"474",2015-05-02,0,1,2,7,4
"475",2015-05-03,0,0,0,3,2
"476",2015-05-04,0,0,12,22,10
"477",2015-05-05,2,0,4,5,3
"478",2015-05-06,0,0,0,2,2
"479",2015-05-07,0,1,10,7,6
"480",2015-05-08,0,0,1,2,2
"481",2015-05-10,0,0,1,2,2
"482",2015-05-11,0,0,15,12,7
"483",2015-05-13,13,5,143,32,22
"484",2015-05-14,2,0,8,5,4
"485",2015-05-15,0,0,0,4,3
"486",2015-05-17,1,0,9,2,2
"487",2015-05-18,0,0,0,4,2
"488",2015-05-19,0,0,8,12,4
"489",2015-05-22,2,0,4,1,1
"490",2015-05-23,0,0,0,1,1
"491",2015-05-24,0,0,2,2,2
"492",2015-05-25,1,0,4,1,1
"493",2015-05-26,5,3,32,36,29
"494",2015-05-27,1,0,18,15,9
"495",2015-05-28,4,1,17,10,7
"496",2015-05-29,0,0,0,4,2
"497",2015-05-30,0,0,1,4,2
