periode,user,n
1_Emergence,@RinoPrasetyo,8
1_Emergence,@Stakof,8
1_Emergence,@adittyachris,8
1_Emergence,@ainaaulfa,8
1_Emergence,@ajisuc,8
1_Emergence,@aldinorassisra,8
1_Emergence,@andridodok,8
1_Emergence,@ardian_restu,8
1_Emergence,@dessydanniswara,8
1_Emergence,@dodoputrabangsa,8
1_Emergence,@fajardrumgombes,8
1_Emergence,@gisthak,8
1_Emergence,@ozzyhfz,8
1_Emergence,@rickyouth,8
2_Coalescence,@Dhanymandan,8
2_Coalescence,@Mamoez_,8
2_Coalescence,@Nda_LadyRose2,8
2_Coalescence,@PrimaBagus31,8
2_Coalescence,@RamdanSah,8
2_Coalescence,@surryapradana,8
3_Bureaucratization,@Ary5Prasetyo,8
3_Bureaucratization,@Benny_sapoetra8,8
3_Bureaucratization,@ForBALI13,8
3_Bureaucratization,@Fotodeka,8
3_Bureaucratization,@IrwanNugroho_,8
3_Bureaucratization,@Rizkyeks,8
3_Bureaucratization,@S_GraciaJKT48,8
3_Bureaucratization,@Tata_JKT48,8
3_Bureaucratization,@ardiesa_,8
3_Bureaucratization,@bad1929boy,8
3_Bureaucratization,@gabramikael,8
3_Bureaucratization,@maz_boy13,8
3_Bureaucratization,@simponii,8
3_Bureaucratization,@tribunnews,8
3_Bureaucratization,@veJKT48,8
3_Bureaucratization,@walhinasional,8
3_Bureaucratization,@xRMBLx,8
4_Decline,@Masss_Benn,8
4_Decline,@captainjackband,8
4_Decline,@kompascom,8
4_Decline,@yogyapromo,8
1_Emergence,@Agnar27,7
1_Emergence,@Andy__Triyanto,7
1_Emergence,@BROKENROSE_YK,7
1_Emergence,@Cipukoya,7
1_Emergence,@Danargembel,7
1_Emergence,@IndraEndro,7
1_Emergence,@Jogja24Jam,7
1_Emergence,@JogjaToday,7
1_Emergence,@KristiawanBayu,7
1_Emergence,@M2MX_SU,7
1_Emergence,@NovaBilly_,7
1_Emergence,@Oni_KillCat,7
1_Emergence,@Osd_BumiPertiwi,7
1_Emergence,@RIYANSYAH_,7
1_Emergence,@Saptuari,7
1_Emergence,@SaryantoEko,7
1_Emergence,@Z_Spunky,7
1_Emergence,@arifadij_,7
1_Emergence,@ayuchandra62,7
1_Emergence,@besoklagi_,7
1_Emergence,@damar_panji,7
1_Emergence,@djokoe,7
1_Emergence,@galih_caesar,7
1_Emergence,@idanuramini,7
1_Emergence,@iimibrahiim,7
1_Emergence,@karmidarisa,7
1_Emergence,@kompascom,7
1_Emergence,@maz_boy13,7
1_Emergence,@nfldaffa_,7
1_Emergence,@restupradana,7
1_Emergence,@ridlwandjogja,7
1_Emergence,@si_choe,7
1_Emergence,@therealismail,7
1_Emergence,@unkl_d,7
1_Emergence,@wahyuThonk,7
1_Emergence,@widaboediman,7
1_Emergence,@wordpressdotcom,7
2_Coalescence,@BregadaJHF,7
2_Coalescence,@Jogja_Uncover,7
2_Coalescence,@ZeckoZICK_,7
2_Coalescence,@fky26,7
2_Coalescence,@gepenx77,7
2_Coalescence,@guyonangondes,7
2_Coalescence,@joeyakarta,7
3_Bureaucratization,@Cindygulla0,7
3_Bureaucratization,@Dhikeringer_YK,7
3_Bureaucratization,@Don_gundul,7
3_Bureaucratization,@GilangAveiro,7
3_Bureaucratization,@HKJ_Haryo,7
3_Bureaucratization,@Harian_Jogja,7
3_Bureaucratization,@JJFRadio,7
3_Bureaucratization,@JogjaMedia,7
3_Bureaucratization,@JogjaStudent,7
3_Bureaucratization,@KAKATOBILL,7
3_Bureaucratization,@LBHYogya,7
3_Bureaucratization,@M_DesyJKT48,7
3_Bureaucratization,@Rascal_Culture,7
3_Bureaucratization,@Teguh_es,7
3_Bureaucratization,@YRimawan,7
3_Bureaucratization,@ansyahvalee,7
3_Bureaucratization,@gilang_restuaji,7
3_Bureaucratization,@ifanpaxindra,7
3_Bureaucratization,@indrabayuf_,7
3_Bureaucratization,@jokowi_do2,7
3_Bureaucratization,@ketjilbergerak,7
3_Bureaucratization,@melodyJKT48,7
3_Bureaucratization,@rembugjogja,7
3_Bureaucratization,@shaggydogjogja,7
3_Bureaucratization,@zhajanaarnoldi,7
4_Decline,@BIMOWASKITO8,7
4_Decline,@Rickyfa7,7
4_Decline,@SamasSpeed,7
4_Decline,@eza223,7
4_Decline,@naomisrikandi,7
4_Decline,@tribunjogja,7
4_Decline,@yudhiiyudhek,7
1_Emergence,@AchmadEnggar,6
1_Emergence,@AdityAnjink,6
1_Emergence,@BMPrastyo69,6
1_Emergence,@BOBBYBIKUL,6
1_Emergence,@BerandaJogja,6
1_Emergence,@FangkeOm,6
1_Emergence,@GuyonAngkring,6
1_Emergence,@Ikhwanxjrx,6
1_Emergence,@Khowod,6
1_Emergence,@Lensanasrul,6
1_Emergence,@MiftahHerlyana,6
1_Emergence,@P_Sharast,6
1_Emergence,@RekianSuryo,6
1_Emergence,@SUTITJOGJA,6
1_Emergence,@TAKASjozz,6
1_Emergence,@Tanayaanns,6
1_Emergence,@Taufan_NurH,6
1_Emergence,@Tera_kota,6
1_Emergence,@Zulkarnain_F,6
1_Emergence,@adrika_marhamah,6
1_Emergence,@adyBmiscenick,6
1_Emergence,@andika_prast,6
1_Emergence,@andinifitriyani,6
1_Emergence,@ayeyahya,6
1_Emergence,@azumputry,6
1_Emergence,@borgali,6
1_Emergence,@dhanieDj,6
1_Emergence,@dwixyz,6
1_Emergence,@elfamous_,6
1_Emergence,@erinadwey,6
1_Emergence,@hanifnusena,6
1_Emergence,@masbutet,6
1_Emergence,@mrantasi,6
1_Emergence,@nooplek,6
1_Emergence,@obig_lucifer,6
1_Emergence,@officialWCX,6
1_Emergence,@omesh_cok,6
1_Emergence,@penyu17nyutran,6
1_Emergence,@phykmbod,6
1_Emergence,@taufikismail,6
1_Emergence,@tempodotco,6
1_Emergence,@tesalonikawp,6
1_Emergence,@trieha,6
1_Emergence,@ygsbim,6
1_Emergence,@zogiejat,6
2_Coalescence,@1208_AM,6
2_Coalescence,@DASaraswati,6
2_Coalescence,@DhianDaRocka,6
2_Coalescence,@JKT48JOGJAFC,6
2_Coalescence,@Jogjastudent,6
2_Coalescence,@KRjogjadotcom,6
2_Coalescence,@Muhammaddaffa_A,6
2_Coalescence,@Pondasi_Keras,6
2_Coalescence,@RomoFarano,6
2_Coalescence,@TalkinAndy,6
2_Coalescence,@YogyakartaCity,6
2_Coalescence,@Yunanda_SP,6
2_Coalescence,@adamriordan,6
2_Coalescence,@ardiesa_,6
2_Coalescence,@decibeljunkie,6
2_Coalescence,@faishalfais,6
2_Coalescence,@fidoseptian48,6
2_Coalescence,@jogjamedia,6
2_Coalescence,@jogjaris74,6
2_Coalescence,@kakabikiniz,6
2_Coalescence,@kastratBemKmft,6
2_Coalescence,@maharsitamaa,6
2_Coalescence,@sonsonice,6
3_Bureaucratization,@Asnawi__13,6
3_Bureaucratization,@BIMOWASKITO8,6
3_Bureaucratization,@Ce_besar,6
3_Bureaucratization,@ElainelasticYK,6
3_Bureaucratization,@FRED_PunkRock,6
3_Bureaucratization,@Fauzy6661,6
3_Bureaucratization,@GuyonanNgapak,6
3_Bureaucratization,@HERUWA,6
3_Bureaucratization,@JJGFans,6
3_Bureaucratization,@KoncoMusiman,6
3_Bureaucratization,@PutraDS_,6
3_Bureaucratization,@RoxSinatra,6
3_Bureaucratization,@SriPurnomoSP,6
3_Bureaucratization,@YogiSuryawan,6
3_Bureaucratization,@alaikazizi,6
3_Bureaucratization,@anasir,6
3_Bureaucratization,@area_jogja,6
3_Bureaucratization,@aryahave,6
3_Bureaucratization,@bebyJKT48,6
3_Bureaucratization,@cangkemepride,6
3_Bureaucratization,@captainjackband,6
3_Bureaucratization,@infoseni_,6
3_Bureaucratization,@ketutsoekamti_,6
3_Bureaucratization,@mBlendus,6
3_Bureaucratization,@maulanadri25,6
3_Bureaucratization,@nunoRahman,6
3_Bureaucratization,@revolt_warning,6
4_Decline,@Dandhy_Laksono,6
4_Decline,@ForBALI13,6
4_Decline,@JogjaUpdate,6
4_Decline,@OrisinilJogja,6
4_Decline,@danaretropolis,6
4_Decline,@erlangga_erry,6
1_Emergence,@AnggoroZeto,5
1_Emergence,@Ardhi_Qeju,5
1_Emergence,@Arikurniawanyk,5
1_Emergence,@Bantul_Biru,5
1_Emergence,@BondanImamW,5
1_Emergence,@BuruhPanggung,5
1_Emergence,@CantonaChandra,5
1_Emergence,@DonForgant,5
1_Emergence,@EXPOST_2K15,5
1_Emergence,@FahrezaSiregar,5
1_Emergence,@FikiM_27,5
1_Emergence,@GaluhNA7,5
1_Emergence,@Gowenx_,5
1_Emergence,@IrkhamM_DWS,5
1_Emergence,@JackTheAgnostic,5
