"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"589","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:43:44,FALSE,NA,"1057025214012260353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DhieanaNew",431,TRUE,FALSE,NA,NA
"590","RT @anonLokal: Respon dari Ustadz Ihsanul Faruqi di Garut terhadap BANSER pembakar bensera tauhid<U+0001F60E>
#BelaKalimatTauhid 
#BubarkanBanser http<U+2026>",FALSE,0,NA,2018-10-29 21:43:04,FALSE,NA,"1057025047989080064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Agusreev",106,TRUE,FALSE,NA,NA
"591","RT @khibar_p: Prabowo Bersama Umat &amp; Ulama'!!!
#BubarkanBanser
#2019GantiPresiden
#2019PrabowoPresiden
#2019TetapAntiPKI https://t.co/dFtVA<U+2026>",FALSE,0,NA,2018-10-29 21:42:39,FALSE,NA,"1057024940396834816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mohamma61211229",14,TRUE,FALSE,NA,NA
"592","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:41:36,FALSE,NA,"1057024678986829825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","madanilandmksr",431,TRUE,FALSE,NA,NA
"593","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:40:02,FALSE,NA,"1057024284802002944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rigenz123",431,TRUE,FALSE,NA,NA
"594","RT @SukaBasaBasi: Hei kau yg mengaku sbg muslim..
Jgn lah kau Taqlid Buta dalam suatu ormas atau pemimpin.
Karna jelas itu membawa anda ke<U+2026>",FALSE,0,NA,2018-10-29 21:36:39,FALSE,NA,"1057023431462412288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khoirulrach",525,TRUE,FALSE,NA,NA
"595","RT @SukaBasaBasi: Hei kau yg mengaku sbg muslim..
Jgn lah kau Taqlid Buta dalam suatu ormas atau pemimpin.
Karna jelas itu membawa anda ke<U+2026>",FALSE,0,NA,2018-10-29 21:34:17,FALSE,NA,"1057022837091782657",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Kris91024679",525,TRUE,FALSE,NA,NA
"596","Bener juga, 
Bingung,
Mau ketawa takut dosa, 
Mau nangis tapi mereka gak peduli. 

Yang diperlukan mereka mungkin h<U+2026> https://t.co/5WnTHnpZAC",FALSE,0,NA,2018-10-29 21:33:38,TRUE,NA,"1057022671542571008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","120FN1",0,FALSE,FALSE,NA,NA
"597","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:18:00,FALSE,NA,"1057018740712267776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blackidjoe99",431,TRUE,FALSE,NA,NA
"598","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:16:42,FALSE,NA,"1057018412495294465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Namja_Hero",431,TRUE,FALSE,NA,NA
